"filename", "language", "C", "C++", "Makefile", "comment", "blank", "total"
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\Makefile", "Makefile", 0, 0, 26, 1, 11, 38
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\busca.h", "C++", 0, 10, 0, 0, 3, 13
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\cabecalho.h", "C++", 0, 19, 0, 1, 5, 25
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\csv.h", "C++", 0, 12, 0, 0, 2, 14
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\funcionalidades.h", "C++", 0, 9, 0, 0, 2, 11
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\orgarquivos.h", "C++", 0, 24, 0, 0, 6, 30
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\registro.h", "C++", 0, 51, 0, 7, 16, 74
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\headers\removeinsere.h", "C++", 0, 9, 0, 1, 2, 12
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\busca.c", "C", 77, 0, 0, 4, 9, 90
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\cabecalho.c", "C", 47, 0, 0, 7, 9, 63
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\csv.c", "C", 65, 0, 0, 7, 16, 88
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\funcionalidades.c", "C", 212, 0, 0, 24, 68, 304
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\main.c", "C", 30, 0, 0, 4, 2, 36
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\orgarquivos.c", "C", 185, 0, 0, 38, 51, 274
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\registro.c", "C", 144, 0, 0, 14, 32, 190
"c:\Users\Computador\Documents\Code\EDIII\data-structures-iii\trabalho1-codigofinal\src\removeinsere.c", "C", 109, 0, 0, 9, 25, 143
"Total", "-", 869, 134, 26, 117, 259, 1405
