status: 1, RRNproxNo: 61, alturaArvore: 0, noRaiz: 24, nroChavesTotal: 160
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 0, descendentes: -1 -1 -1 -1 -1 , dados: 1 (6) 2 (136) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 1, descendentes: -1 -1 -1 -1 -1 , dados: 111 (44) 112 (56) 113 (134) 114 (39) 
folha: 0, nroChavesNo: 4, alturaNo: 2, RRNdoNo: 2, descendentes: 0 48 6 27 39 , dados: 3 (18) 6 (3) 11 (62) 14 (67) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 3, descendentes: -1 -1 -1 -1 -1 , dados: 81 (40) 82 (75) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 4, descendentes: -1 -1 -1 -1 -1 , dados: 140 (87) 141 (42) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 5, descendentes: -1 -1 -1 -1 -1 , dados: 44 (31) 45 (21) 46 (49) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 6, descendentes: -1 -1 -1 -1 -1 , dados: 7 (149) 8 (69) 9 (46) 10 (153) 
folha: 0, nroChavesNo: 4, alturaNo: 2, RRNdoNo: 7, descendentes: 3 50 26 37 -1 , dados: 83 (141) 87 (20) 92 (98) 97 (11) 
folha: 0, nroChavesNo: 1, alturaNo: 3, RRNdoNo: 8, descendentes: 2 29 -1 -1 -1 , dados: 19 (22) -1 (-1) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 9, descendentes: -1 -1 -1 -1 -1 , dados: 127 (26) 128 (57) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 10, descendentes: -1 -1 -1 -1 -1 , dados: 98 (81) 99 (0) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 11, descendentes: -1 -1 -1 -1 -1 , dados: 54 (131) 55 (144) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 12, descendentes: -1 -1 -1 -1 -1 , dados: 153 (122) 154 (65) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 2, RRNdoNo: 13, descendentes: 9 20 -1 56 -1 , dados: 129 (52) 133 (96) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 14, descendentes: -1 -1 -1 -1 -1 , dados: 26 (36) 27 (109) 28 (125) 29 (128) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 15, descendentes: -1 -1 -1 -1 -1 , dados: 48 (37) 49 (43) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 2, RRNdoNo: 16, descendentes: 5 15 44 -1 -1 , dados: 47 (15) 50 (63) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 17, descendentes: -1 -1 -1 -1 -1 , dados: 116 (137) 117 (119) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 18, descendentes: -1 -1 -1 -1 -1 , dados: 148 (120) 149 (5) 150 (48) 151 (50) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 19, descendentes: -1 -1 -1 -1 -1 , dados: 160 (41) 161 (35) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 20, descendentes: -1 -1 -1 -1 -1 , dados: 130 (83) 131 (123) 132 (58) -1 (-1) 
folha: 0, nroChavesNo: 3, alturaNo: 2, RRNdoNo: 21, descendentes: 18 12 47 19 -1 , dados: 152 (13) 155 (14) 159 (53) -1 (-1) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 22, descendentes: -1 -1 -1 -1 -1 , dados: 66 (76) 67 (142) 68 (61) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 3, RRNdoNo: 23, descendentes: 7 32 55 -1 -1 , dados: 100 (55) 115 (25) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 3, alturaNo: 4, RRNdoNo: 24, descendentes: 8 49 23 58 -1 , dados: 33 (71) 80 (9) 126 (2) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 25, descendentes: -1 -1 -1 -1 -1 , dados: 20 (143) 21 (70) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 26, descendentes: -1 -1 -1 -1 -1 , dados: 88 (89) 89 (147) 90 (107) 91 (68) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 27, descendentes: -1 -1 -1 -1 -1 , dados: 12 (103) 13 (85) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 28, descendentes: -1 -1 -1 -1 -1 , dados: 34 (116) 35 (99) 36 (54) -1 (-1) 
